Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
Tory Lanez,Hurts Me,Hurts Me,0RBw4ODUQPO4cuAOZtBGga,0.786,8,-5.477,0.0,0.673,149.968,Energetic
Luke Bryan,Crash My Party,Play It Again,03fT3OHB9KyMtGMt2zwqCT,0.886,11,-3.225,0.0,0.595,143.935,Energetic
Imagine Dragons,Evolve,Believer,0pqnGHJpmpxLKifKRmU6WP,0.78,10,-4.374,0.0,0.666,124.949,Energetic
Jordan Davis,Bluebird Days,What My World Spins Around,6vjZxvzdAeHp7jv3R398Xm,0.733,2,-6.483,0.0,0.7,124.882,Energetic
Peggy Gou,(It Goes Like) Nanana [Edit],(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,0.876,7,-5.681,0.188,0.964,129.998,Energetic
Grupo Frontera,No Se Va (EN VIVO),No Se Va - EN VIVO,23Lyy7ZXRvzfgH4JtDkKrX,0.527,0,-9.335,0.0,0.692,172.712,Energetic
The Weeknd,After Hours,Save Your Tears,5QO79kh1waicV47BqGRL3g,0.826,0,-5.487,1.24e-05,0.644,118.051,Energetic
BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.797,6,-7.627,0.00137,0.518,120.041,Energetic
Junior H,El Tsurito,El Tsurito,1piak4R3yW4otWWyaSqyCH,0.801,8,-6.397,0.0,0.827,114.922,Energetic
Twenty One Pilots,Blurryface,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,0.637,4,-5.677,2.29e-05,0.648,169.977,Energetic
Quavo,Turn Yo Clic Up (feat. Future),Turn Yo Clic Up (feat. Future),7LTCmtMpf3JPfBE8gAl64z,0.557,11,-7.112,0.0,0.629,124.927,Energetic
